Gene Symbol,WM_1,WM_2,WM_3,W3_1,W3_2,W3_3,W12_1,W12_2,W12_3,W24_1,W24_2,W24_3
ACVR1C,0,0.015653393,0.019790288,0.024969773,0,0,0.064102223,0.068345823,0,0.0488058,0.01990333,0.073399284
ACVR1,3.460376093,4.184516817,3.466127615,3.222414853,2.384938721,3.072881601,3.730038477,3.982594035,3.030508581,5.033189902,6.604912414,7.290342523
UPP2,0,0,0,0,0,0,0,0,0,0,0,0
CCDC148,0.124192558,0.037977031,0.024006821,0.181739096,0.146734656,0.161751947,0.272159604,0.094751578,0.227887848,0.059204398,0.096575786,0.178075572
PKP4,12.95529388,12.37596696,12.83831835,8.792181314,8.997894075,9.493268472,12.0281891,14.9157262,10.59103094,9.505429206,11.72039685,12.30774226
DAPL1,0,0,0,0,0,0,0,0,0,0,0,0
TANC1,1.217519286,1.431206428,1.302068397,1.361323596,1.527768519,1.441574562,1.638487643,2.023664585,1.346259254,1.379413937,1.186547472,1.133610621
WDSUB1,14.80780537,15.43824138,15.76803956,12.71655838,16.29445784,16.86936436,17.08213531,15.13806235,15.89845966,14.13570854,14.35801486,16.12188636
BAZ2B,0.585377586,0.79844984,0.44219927,0.622741162,0.612759058,0.662095108,0.636585111,0.702967629,0.474883819,0.666434578,0.817575427,0.530117953
7-Mar,15.02095291,17.30491564,17.60969773,14.51412702,17.04968445,17.67071853,18.13816137,19.82435286,13.33727405,13.97051482,18.16140834,18.43971419
CD302,0.115506698,0.035320969,0,0,0.030327163,0,0,0,0.084779872,0.165191166,0,0.132496966
LY75-CD302,0,0,0,0,0,0,0,0,0,0,0,0
LY75,0,0,0,0,0,0,0,0,0,0,0,0
PLA2R1,0,0,0.047397721,0.014950645,0.028165733,0,0,0.017538019,0,0.051139307,0,0.017579121
ITGB6,0.301273604,0.184253829,0.427072477,1.212401791,1.634768012,0.784774755,0.42442763,0.220276697,0.257984409,0.478738355,0.546651506,0.143995396
RBMS1,19.77043828,21.06082209,19.75162436,21.89612405,23.15674786,22.73171673,23.83480979,22.62169754,20.36455401,21.55160849,19.62333373,22.96919084
TANK,11.60061778,11.14519341,12.08469524,12.94287056,10.92068683,12.63659905,10.40650013,10.54828858,12.74100986,12.42782974,10.92358868,10.80285772
PSMD14,24.71253896,23.20353207,24.92714437,25.31443274,31.12055215,29.12695971,27.66973647,27.18504367,22.69751721,23.30417529,20.86155537,21.41850327
TBR1,0,0,0,0.01195818,0,0,0.030698955,0,0,0,0,0
SLC4A10,0,0,0,0,0,0,0,0,0,0,0,0
DPP4,6.844062014,6.982572697,6.884335617,7.895406926,8.178843464,6.731322292,8.281179554,9.490314418,4.638329814,6.137093112,5.955442546,6.022822307
GCG,0,0,0,0,0,0,0,0.037610859,0,0,0,0
FAP,0.022404198,0.082212166,0.090946873,0.262284231,0.132353836,0.109424511,0.168333555,0.121788182,0.147998563,0.224288543,0.10453298,0.154198239
IFIH1,0.568243356,0.986228117,1.139994987,1.022578911,0.435492833,0.480062552,0.894284367,1.397275063,0.676346864,12.08022386,16.08692062,14.89075048
GCA,1.113349221,1.649886426,1.564440104,2.005214483,1.686451805,1.547657992,1.930414656,1.849937921,1.060760714,3.735661762,4.620231474,3.426107914
KCNH7,0,0,0,0,0,0,0,0,0,0.045111513,0,0
FIGN,4.789591375,5.182860168,4.603287315,3.660343366,3.33756649,4.902099216,5.661798875,6.181094195,4.682474107,5.23609362,5.273856809,6.510111205
GRB14,0.318248677,0.681224235,0.615184921,0.232857057,0.396903411,0.932616449,0.423433866,0.576661689,0.350383345,0.455141313,0.3712193,0.182530472
COBLL1,3.708232549,4.3193291,3.305109461,3.013979314,3.100730827,4.166515654,3.847287865,4.936225965,2.870938491,4.023196966,4.714310066,4.160704959
SLC38A11,0,0,0,0.041353937,0,0,0,0,0,0,0,0
SCN3A,0,0,0,0,0,0,0,0.009123691,0,0.136819919,0.148789524,0.082305661
SCN2A,0.033107533,0,0.046078506,0.007267263,0.010431162,0.01940409,0.006218822,0.018944317,0.003645051,0.009469705,0.03089447,0.022786459
CSRNP3,0.062433982,0.206191252,0.014482427,0.045681866,0.049177552,0.048789485,0.058637081,0.078595171,0.09623342,0.107147473,0.101956053,0.10742641
GALNT3,4.553550428,5.713087609,5.339545181,3.270508673,3.797690804,3.466828169,5.298616098,6.427704585,4.441965043,3.758898073,5.311462146,4.968901293
TTC21B,2.091815877,2.348600788,2.100230549,1.888434282,1.491916972,1.463878725,1.896183813,2.578501782,2.176997077,1.830678831,1.869442271,2.301020824
SCN1A,0,0,0,0.006774373,0,0,0,0,0.010193496,0,0,0
SCN9A,0,0,0,0,0,0,0,0,0,0.09797744,0,0
SCN7A,0,0,0,0,0,0,0,0,0.019007371,0,0,0
XIRP2,0.060201288,0.033136279,0.041893569,0.079286836,0.037935136,0.070567095,0.056540168,0.048226524,0,0.06887719,0.140442878,0.031075424
B3GALT1,0,0,0,0,0,0,0,0,0,0,0,0
STK39,0.406372163,0.440576487,0.685553849,0.621701476,0.37828619,0.577386277,0.815361939,0.443917946,0.366058607,0.052833687,0.689469705,0.444958317
CERS6,0,0,0,0,0.008533572,0,0,0,0,0,0,0
NOSTRIN,3.991176794,3.04431352,3.259401634,4.462442825,4.015040701,5.285833563,3.341319219,3.344402995,4.114400465,4.061841345,3.347764295,4.848317836
